ID E S cinh kd Eshift
601 15514 0.5 60 0.00025 15255
602 14853 0.5 60 0.00025 14790
603 15012 0.5 60 0.00025 14700
604 15140 0.5 60 0.00025 14670
605 15294 0.5 60 0.00025 15315
606 15436 0.5 60 0.00025 15235
607 15307 0.5 60 0.00025 15075
608 15428 0.5 60 0.00025 15065
609 15366 0.5 60 0.00025 15325
610 14788 0.5 60 0.00025 14640
611 14930 0.5 60 0.00025 14800
612 14832 0.5 60 0.00025 14790
613 14910 0.5 60 0.00025 14690
614 15059 0.5 60 0.00025 14790
601 15514 0.5 60 0.00025 15255
602 14853 0.5 60 0.00025 14790
603 15012 0.5 60 0.00025 14700
604 15140 0.5 60 0.00025 14670
605 15294 0.5 60 0.00025 15315
606 15436 0.5 60 0.00025 15235
607 15307 0.5 60 0.00025 15075
608 15428 0.5 60 0.00025 15065
609 15366 0.5 60 0.00025 15325
610 14788 0.5 60 0.00025 14640
611 14930 0.5 60 0.00025 14800
612 14832 0.5 60 0.00025 14790
613 14910 0.5 60 0.00025 14690
614 15059 0.5 60 0.00025 14790
601 15514 0.5 60 0.00025 15255
602 14853 0.5 60 0.00025 14790
603 15012 0.5 60 0.00025 14700
604 15140 0.5 60 0.00025 14670
605 15294 0.5 60 0.00025 15315
606 15436 0.5 60 0.00025 15235
607 15307 0.5 60 0.00025 15075
608 15428 0.5 60 0.00025 15065
609 15366 0.5 60 0.00025 15325
610 14788 0.5 60 0.00025 14640
611 14930 0.5 60 0.00025 14800
612 14832 0.5 60 0.00025 14790
613 14910 0.5 60 0.00025 14690
614 15059 0.5 60 0.00025 14790
